,total_word_idx,text_id,sent_id_and_idx,word_idx,word,processed_word
4050,1,1,1,1,In,in
4051,2,1,1,2,ancient,ancient
4052,3,1,1,3,Roman,roman
4053,4,1,1,4,religion,religion
4054,5,1,1,5,and,and
4055,6,1,1,6,"myth,",myth
4056,7,1,1,7,Janus,janus
4057,8,1,1,8,is,be
4058,9,1,1,9,the,the
4059,10,1,1,10,god,god
4060,11,1,1,11,of,of
4061,12,1,1,12,beginnings,beginning
4062,13,1,1,13,and,and
4063,14,1,1,14,gates.,gate
4064,15,1,2,1,He,he
4065,16,1,2,2,has,have
4066,17,1,2,3,a,a
4067,18,1,2,4,double,double
4068,19,1,2,5,nature,nature
4069,20,1,2,6,and,and
4070,21,1,2,7,is,be
4071,22,1,2,8,usually,usually
4072,23,1,2,9,depicted,depict
4073,24,1,2,10,as,as
4074,25,1,2,11,having,have
4075,26,1,2,12,two,two
4076,27,1,2,13,"faces,",face
4077,28,1,2,14,since,since
4078,29,1,2,15,he,he
4079,30,1,2,16,looks,look
4080,31,1,2,17,to,to
4081,32,1,2,18,the,the
4082,33,1,2,19,future,future
4083,34,1,2,20,and,and
4084,35,1,2,21,to,to
4085,36,1,2,22,the,the
4086,37,1,2,23,past.,past
4087,38,1,3,1,Janus,janus
4088,39,1,3,2,presided,preside
4089,40,1,3,3,over,over
4090,41,1,3,4,the,the
4091,42,1,3,5,beginning,beginning
4092,43,1,3,6,and,and
4093,44,1,3,7,ending,ending
4094,45,1,3,8,of,of
4095,46,1,3,9,"conflict,",conflict
4096,47,1,3,10,and,and
4097,48,1,3,11,hence,hence
4098,49,1,3,12,war,war
4099,50,1,3,13,and,and
4100,51,1,3,14,peace.,peace
4101,52,1,4,1,The,the
4102,53,1,4,2,doors,door
4103,54,1,4,3,of,of
4104,55,1,4,4,his,he
4105,56,1,4,5,temple,temple
4106,57,1,4,6,were,be
4107,58,1,4,7,open,open
4108,59,1,4,8,in,in
4109,60,1,4,9,times,time
4110,61,1,4,10,of,of
4111,62,1,4,11,war,war
4112,63,1,4,12,and,and
4113,64,1,4,13,closed,close
4114,65,1,4,14,during,during
4115,66,1,4,15,peacetime.,peacetime
4116,67,1,5,1,As,as
4117,68,1,5,2,the,the
4118,69,1,5,3,god,god
4119,70,1,5,4,of,of
4120,71,1,5,5,"gates,",gate
4121,72,1,5,6,he,he
4122,73,1,5,7,was,be
4123,74,1,5,8,also,also
4124,75,1,5,9,associated,associate
4125,76,1,5,10,with,with
4126,77,1,5,11,entering,enter
4127,78,1,5,12,and,and
4128,79,1,5,13,exiting,exite
4129,80,1,5,14,the,the
4130,81,1,5,15,doors,door
4131,82,1,5,16,of,of
4132,83,1,5,17,homes.,home
4133,84,1,6,1,Janus,janus
4134,85,1,6,2,frequently,frequently
4135,86,1,6,3,symbolized,symbolize
4136,87,1,6,4,change,change
4137,88,1,6,5,and,and
4138,89,1,6,6,"transitions,",transition
4139,90,1,6,7,such,such
4140,91,1,6,8,as,as
4141,92,1,6,9,the,the
4142,93,1,6,10,progress,progress
4143,94,1,6,11,from,from
4144,95,1,6,12,one,one
4145,96,1,6,13,condition,condition
4146,97,1,6,14,to,to
4147,98,1,6,15,"another,",another
4148,99,1,6,16,from,from
4149,100,1,6,17,one,one
4150,101,1,6,18,vision,vision
4151,102,1,6,19,to,to
4152,103,1,6,20,"another,",another
4153,104,1,6,21,and,and
4154,105,1,6,22,the,the
4155,106,1,6,23,growth,growth
4156,107,1,6,24,of,of
4157,108,1,6,25,young,young
4158,109,1,6,26,people,people
4159,110,1,6,27,into,into
4160,111,1,6,28,adulthood.,adulthood
4161,112,1,7,1,"Hence,",hence
4162,113,1,7,2,Janus,janus
4163,114,1,7,3,was,be
4164,115,1,7,4,worshipped,worship
4165,116,1,7,5,at,at
4166,117,1,7,6,the,the
4167,118,1,7,7,beginning,beginning
4168,119,1,7,8,of,of
4169,120,1,7,9,the,the
4170,121,1,7,10,harvest,harvest
4171,122,1,7,11,and,and
4172,123,1,7,12,planting,planting
4173,124,1,7,13,"times,",time
4174,125,1,7,14,as,as
4175,126,1,7,15,well,well
4176,127,1,7,16,as,as
4177,128,1,7,17,at,at
4178,129,1,7,18,"marriages,",marriage
4179,130,1,7,19,"deaths,",death
4180,131,1,7,20,and,and
4181,132,1,7,21,other,other
4182,133,1,7,22,beginnings.,beginning
4183,134,1,8,1,Janus,janus
4184,135,1,8,2,had,have
4185,136,1,8,3,no,no
4186,137,1,8,4,specialized,specialized
4187,138,1,8,5,priest,priest
4188,139,1,8,6,assigned,assign
4189,140,1,8,7,to,to
4190,141,1,8,8,"him,",he
4191,142,1,8,9,but,but
4192,143,1,8,10,the,the
4193,144,1,8,11,high,high
4194,145,1,8,12,priest,priest
4195,146,1,8,13,himself,himself
4196,147,1,8,14,carried,carry
4197,148,1,8,15,out,out
