,sent_id_and_idx,word_idx,word,processed_word
0,1,1,इस,यह
1,1,2,फिल्म,फिल्म
2,1,3,में,में
3,1,4,उनके,वह
4,1,5,हीरो,हीरो
5,1,6,अजय,अजय
6,1,7,देवगन,देवगन
7,1,8,बने,बन
8,1,9,है,है
9,2,1,चूंकि,चूंकि
10,2,2,अजनबी,अजनबी
11,2,3,का,का
12,2,4,प्रीमियर,प्रीमियर
13,2,5,यहां,यहाँ
14,2,6,पर,पर
15,2,7,होना,हो
16,2,8,था,था
17,2,9,इसीलिए,इसीलिए
18,2,10,बिपाशा,बिपाशा
19,2,11,की,का
20,2,12,मौजूदगी,मौजूदगी
21,2,13,इस,यह
22,2,14,फ़ंकशन,फ़ंकशन
23,2,15,में,में
24,2,16,काफी,काफी
25,2,17,अहम,अहम
26,2,18,थी,था
27,3,1,इसके,यह
28,3,2,पहले,पहले
29,3,3,ज़ी,ज़ी
30,3,4,में,में
31,3,5,रंगारंग,रंगारंग
32,3,6,कार्निवाल,कार्निवाल
33,3,7,के,का
34,3,8,36वें,36वाँ
35,3,9,फ़िल्म,फ़िल्म
36,3,10,फ़ेसटीवल,फ़ेसटीवल
37,3,11,की,का
38,3,12,शुरुआत,शुरुआत
39,3,13,बड़े,बड़े
40,3,14,ही,ही
41,3,15,धूमधाम,धूमधाम
42,3,16,से,से
43,3,17,हुई,हो
44,4,1,फ़िल्म,फ़िल्म
45,4,2,फ़ेसटीवल,फेसटीवल
46,4,3,की,का
47,4,4,सिक्यूरिटी,सिक्यूरिटी
48,4,5,को,को
49,4,6,लेकर,ले
50,4,7,पुलीस,पुलीस
51,4,8,के,का
52,4,9,द्वारा,द्वारा
53,4,10,कड़े,कड़े
54,4,11,इंतिज़ाम,इंतिजाम
55,4,12,किए,कर
56,4,13,गये,जा
57,4,14,हैं,है
58,4,15,और,और
59,4,16,वह,वह
60,4,17,किसी,कोई
61,4,18,भी,भी
62,4,19,तरह,तरह
63,4,20,की,का
64,4,21,कोताही,कोताही
65,4,22,नहीं,नहीं
66,4,23,बरतना,बरत
67,4,24,चाहते,चाह
68,5,1,उधर,उधर
69,5,2,प्रोग्राम,प्रोग्राम
70,5,3,में,में
71,5,4,बदलाव,बदलाव
72,5,5,करते,कर
73,5,6,हुए,हो
74,5,7,देवानंद,देवानंद
75,5,8,ने,ने
76,5,9,फिल्म,फिल्म
77,5,10,फ़ेसटीवल,फेसटीवल
78,5,11,में,में
79,5,12,अपनी,अपना
80,5,13,नई,नया
81,5,14,फिल्म,फिल्म
82,5,15,मिस्टर,मिस्टर
83,5,16,प्राइम,प्राइम
84,5,17,मिनिस्टर,मिनिस्टर
85,5,18,को,को
86,5,19,नहीं,नहीं
87,5,20,दिखाने,दिखा
88,5,21,का,का
89,5,22,फैसला,फैसला
90,5,23,किया,कर
91,5,24,है,है
92,6,1,दरअसल,दरअसल
93,6,2,वह,वह
94,6,3,इस,यह
95,6,4,फिल्म,फिल्म
96,6,5,को,को
97,6,6,सबसे,सबसे
98,6,7,पहले,पहले
99,6,8,प्रधानमंत्री,प्रधानमंत्री
100,6,9,मनमोहन,मनमोहन
101,6,10,सिंह,सिंह
102,6,11,को,को
103,6,12,दिखाना,दिखा
104,6,13,चाहते,चाह
105,6,14,हैं,है
106,7,1,देवानंद,देवानंद
107,7,2,ने,ने
108,7,3,कल,कल
109,7,4,एक,एक
110,7,5,टीवी,टीवी
111,7,6,चैनल,चैनल
112,7,7,से,से
113,7,8,बातचीत,बातचीत
